CPU   THREAD             VAL             ENA             RUN            TIME EVENT
 -1     1615       149969083       402803676        56265536       403217982 iTLB-loads
 -1     1615        18548338       402809445        52272885       403217982 branch-load-misses
 -1     1615        25855525       402814900        48277385       403217982 branch-loads
 -1     1615               0       402819309        47998258       403217982 mem-loads
 -1     1615        20278551       402822988        47998962       403217982 stalled-cycles-backend
 -1     1615        45814226       402826619        47998432       403217982 stalled-cycles-frontend
 -1     1615        35488915       503545484        66582135       504130187 branches
 -1     1615          475714       503566272        70581405       504130187 branch-misses
 -1     1615          361565       503576488        74521887       504130187 cache-references
 -1     1615          171222       503584692        78538556       504130187 cache-misses
 -1     1615       169362342       503590914        79936943       504130187 cycles
 -1     1615       264604496       503597073        99935943       504130187 instructions
 -1     1615         1142845       503603225        99940834       504130187 L1-dcache-load-misses
 -1     1615        73112926       503609350        99997682       504130187 L1-dcache-loads
 -1     1615           37931       503615456        99999054       504130187 L1-dcache-prefetch-misses
 -1     1615          252487       503621621        99998399       504130187 L1-dcache-prefetches
 -1     1615          335409       503627662        79999202       504130187 L1-dcache-store-misses
 -1     1615        29658029       503633802        79999850       504130187 L1-dcache-stores
 -1     1615         8969862       503639746        79999541       504130187 L1-icache-load-misses
 -1     1615        67732004       503645795        80000676       504130187 L1-icache-loads
 -1     1615           15150       503651883        79998069       504130187 LLC-load-misses
 -1     1615           74528       503657888        79998766       504130187 LLC-loads
 -1     1615           35086       503663877        79998794       504130187 dTLB-load-misses
 -1     1615        58656426       503673326        79999738       504130187 dTLB-loads
 -1     1615            5472       503680779        77163339       504130187 dTLB-store-misses
 -1     1615        28076159       503687245        73170919       504130187 dTLB-stores
 -1     1615            7438       503693151        69178083       504130187 iTLB-load-misses
 -1     1615       173671897       503698787        65181396       504130187 iTLB-loads
 -1     1615        22705425       503703435        63999610       504130187 branch-load-misses
 -1     1615        34245910       503707048        63998559       504130187 branch-loads
 -1     1615               0       503710653        63997692       504130187 mem-loads
 -1     1615        27071943       503714275        63999082       504130187 stalled-cycles-backend
 -1     1615        61120749       503717990        63979751       504130187 stalled-cycles-frontend
 -1     1615        44082480       604451867        82581856       605040574 branches
 -1     1615          578205       604472592        86581532       605040574 branch-misses
 -1     1615          422712       604482804        90521699       605040574 cache-references
 -1     1615          196467       604490975        94538456       605040574 cache-misses
 -1     1615       203297636       604497304        95937165       605040574 cycles
 -1     1615       317756942       604503667       119936344       605040574 instructions
 -1     1615         1361939       604509829       119940960       605040574 L1-dcache-load-misses
 -1     1615        87793383       604516064       119997793       605040574 L1-dcache-loads
 -1     1615           37931       604522250       119998667       605040574 L1-dcache-prefetch-misses
 -1     1615          314182       604528449       119998129       605040574 L1-dcache-prefetches
 -1     1615          401972       604534511        95998657       605040574 L1-dcache-store-misses
